identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
17094A;SCEAUX HOUDAN;Bureau de poste;75 RUE HOUDAN;;;92330;SCEAUX;92;FRANCE;48.779;2.2901;48.779, 2.2901;1,245840553
55813A;LE PLESSIS LES HALLES BP;Bureau de poste;4 AVENUE DE LA LIBERATION;;;92350;LE PLESSIS ROBINSON;92;FRANCE;48.7767;2.25647;48.7767, 2.25647;1,240254174
17078A;GARCHES;Bureau de poste;106 GRANDE RUE;;;92380;GARCHES;92;FRANCE;48.8439;2.18508;48.8439, 2.18508;1,200011839
17110A;COURBEVOIE BECON;Bureau de poste;3 PLACE DE BELGIQUE;;;92400;COURBEVOIE;92;FRANCE;48.9035;2.26752;48.9035, 2.26752;1,247550704
17162A;COURBEVOIE FAUBOURG DE L' ARCHE BP;Bureau de poste;27 AVENUE PUVIS DE CHAVANNES;;;92400;COURBEVOIE;92;FRANCE;48.899032;2.234752;48.899032, 2.234752;1,222815542
17085A;MARNES LA COQUETTE BP;Bureau de poste;2 SQUARE PASTEUR;;;92430;MARNES LA COQUETTE;92;FRANCE;48.8307;2.17744;48.8307, 2.17744;1,201248982
17092A;RUEIL MALMAISON JAURES;Bureau de poste;6 B PLACE JEAN JAURES;;;92500;RUEIL MALMAISON;92;FRANCE;48.8778;2.17807;48.8778, 2.17807;1,239621403
17167A;RUEIL BOUGAINVILLEES BP;Bureau de poste;63 AVENUE DE FOUILLEUSE;;;92500;RUEIL MALMAISON;92;FRANCE;48.8627799;2.1926618;48.8627799, 2.1926618;1,22589087
17102A;ASNIERES BOURGUIGNONS BP;Bureau de poste;186 BOULEVARD VOLTAIRE;;;92600;ASNIERES SUR SEINE;92;FRANCE;48.9185;2.28288;48.9185, 2.28288;1,209438953
17135A;COLOMBES ARAGON;Bureau de poste;158 BOULEVARD CHARLES DE GAULLE;;;92700;COLOMBES;92;FRANCE;48.9153;2.22831;48.9153, 2.22831;1,21542343
17139A;COLOMBES MARCEAU;Bureau de poste;64 BOULEVARD MARCEAU;;;92700;COLOMBES;92;FRANCE;48.9292;2.26571;48.9292, 2.26571;1,224576765
17173A;LA DEFENSE CNIT;Bureau de poste;LE CNIT;LA DEFENSE;;92800;PUTEAUX;92;FRANCE;48.892684;2.240224;48.892684, 2.240224;1,204598907
14734B;BOBIGNY JAURES BP;Bureau de poste;178 AVENUE JEAN JAURES;;;93000;BOBIGNY;93;FRANCE;48.9088602;2.4379019;48.9088602, 2.4379019;1,241043436
17199A;MONTREUIL PRINCIPAL;Bureau de poste;44 BOULEVARD ROUGET DE LISLE;;;93100;MONTREUIL;93;FRANCE;48.8598;2.43845;48.8598, 2.43845;1,234079062
69819A;ROSNY SOUS BOIS AP;Agence postale commnunale;2 ALLEE DE COLMAR;CENTRE SOCIAL ET CULTUREL;;93110;ROSNY SOUS BOIS;93;FRANCE;48.8671;2.49779;48.8671, 2.49779;1,233989382
17253A;LA COURNEUVE OUEST;Bureau de poste;23 AVENUE DU GENERAL LECLERC;;;93120;LA COURNEUVE;93;FRANCE;48.9273;2.37935;48.9273, 2.37935;1,247618524
17289A;NOISY LE GRAND ARCADES;Bureau de poste;RUE DES ARCADES;CENTRE COMMERCIAL DES ARCADES;;93160;NOISY LE GRAND;93;FRANCE;48.8395;2.5464;48.8395, 2.5464;1,245334257
17211A;ROMAINVILLE;Bureau de poste;31 RUE DE LA REPUBLIQUE;;;93230;ROMAINVILLE;93;FRANCE;48.8824;2.43988;48.8824, 2.43988;1,214088548
17219A;VILLEMOMBLE;Bureau de poste;31 GRANDE RUE;;;93250;VILLEMOMBLE;93;FRANCE;48.8836;2.51166;48.8836, 2.51166;1,244713291
17205A;SEVRAN SPORTISSE;Bureau de poste;3 RUE LUCIEN SPORTISS;;;93270;SEVRAN;93;FRANCE;48.9364;2.53296;48.9364, 2.53296;1,220367599
17546A;ROISSY  AEROPORT CHARLES DE GAULLE;Bureau de poste;19 RUE DES TERRES NOIRES;FRET 2;;93290;TREMBLAY EN FRANCE;93;FRANCE;48.9907;2.50712;48.9907, 2.50712;1,225422358
17261A;MONTFERMEIL MODIGLIANI BP;Bureau de poste;6 RUE MODIGLIANI;;;93370;MONTFERMEIL;93;FRANCE;48.9036;2.55606;48.9036, 2.55606;1,246254718
17266A;SAINT OUEN GLARNER BP;Bureau de poste;26 AVENUE DU CAPITAINE GLARNER;;;93400;ST OUEN;93;FRANCE;48.9053;2.32787;48.9053, 2.32787;1,246928387
17188A;COUBRON BP;Bureau de poste;1 PLACE DE VERDUN;;;93470;COUBRON;93;FRANCE;48.9153;2.57771;48.9153, 2.57771;1,208577793
17237A;PANTIN QUATRE CHEMINS;Bureau de poste;64 AVENUE EDOUARD VAILLANT;;;93500;PANTIN;93;FRANCE;48.902665;2.393163;48.902665, 2.393163;1,224664451
17190A;DRANCY;Bureau de poste;12 AVENUE JEAN JAURES;;;93700;DRANCY;93;FRANCE;48.9218;2.4472;48.9218, 2.4472;1,232916401
17260A;DRANCY AVENIR BP;Bureau de poste;60 RUE SAINT STENAY;CENTRE COMMERCIAL AVENIR;;93700;DRANCY;93;FRANCE;48.919;2.4217;48.919, 2.4217;1,247496159
17192A;EPINAY SUR SEINE PRINCIPAL;Bureau de poste;29 RUE DE PARIS;;;93800;EPINAY SUR SEINE;93;FRANCE;48.9529;2.31256;48.9529, 2.31256;1,218742977
17404A;CRETEIL LAC;Bureau de poste;3 PLACE SALVADOR ALLENDE;;;94000;CRETEIL;94;FRANCE;48.7779;2.455;48.7779, 2.455;1,208176397
17325A;LE PERREUX SUR MARNE;Bureau de poste;101 AVENUE GEORGES CLEMENCEAU;;;94170;LE PERREUX SUR MARNE;94;FRANCE;48.8426;2.50348;48.8426, 2.50348;1,218082886
14274A;PARIS BOURSE;Bureau de poste;8 PLACE DE LA BOURSE;;;75002;PARIS;75;FRANCE;48.8697;2.34152;48.8697, 2.34152;1,205040019
14263A;PARIS MOUSSY BP;Bureau de poste;10 RUE DE MOUSSY;;;75004;PARIS;75;FRANCE;48.8578;2.35591;48.8578, 2.35591;1,235861026
14252A;PARIS ODEON /BEAUX ARTS;Bureau de poste;118 BOULEVARD SAINT GERMAIN;;;75006;PARIS;75;FRANCE;48.8522;2.34061;48.8522, 2.34061;1,200766801
